ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-17 16:00:00,43.3017166011539,45.828091904980106,58.83518608909821,43.3017166011539,43.3017166011539,8.925421060337335,8.925421060337335,8.925421060337335,5.6063667143481775,5.6063667143481775,5.6063667143481775,4.1999580603611575,4.1999580603611575,4.1999580603611575,-0.8809037143719958,-0.8809037143719958,-0.8809037143719958,0.0,0.0,0.0,52.227137661491234
2018-01-18 16:00:00,43.331047849145605,46.14084858050868,58.30718296074827,43.331047849145605,43.331047849145605,9.059175333112696,9.059175333112696,9.059175333112696,5.606366714322546,5.606366714322546,5.606366714322546,4.198317852671791,4.198317852671791,4.198317852671791,-0.7455092338816451,-0.7455092338816451,-0.7455092338816451,0.0,0.0,0.0,52.3902231822583
2018-01-19 16:00:00,43.360379097137326,45.82213184275897,59.5023733090801,43.360379097137326,43.360379097137326,9.273843428466241,9.273843428466241,9.273843428466241,5.606366713210802,5.606366713210802,5.606366713210802,4.263621787387541,4.263621787387541,4.263621787387541,-0.5961450721321006,-0.5961450721321006,-0.5961450721321006,0.0,0.0,0.0,52.63422252560357
2018-01-22 16:00:00,43.44837284111246,46.455296889921996,60.198014252549804,43.44837284111246,43.44837284111246,9.718144066610055,9.718144066610055,9.718144066610055,5.606366714077613,5.606366714077613,5.606366714077613,4.201546825042645,4.201546825042645,4.201546825042645,-0.08976947251020347,-0.08976947251020347,-0.08976947251020347,0.0,0.0,0.0,53.16651690772251
2018-01-23 16:00:00,43.47770408910417,47.187001498343676,60.12875984487024,43.47770408910417,43.47770408910417,9.901961849782671,9.901961849782671,9.901961849782671,5.606366712965865,5.606366712965865,5.606366712965865,4.206713183944555,4.206713183944555,4.206713183944555,0.08888195287224922,0.08888195287224922,0.08888195287224922,0.0,0.0,0.0,53.379665938886845
2018-01-24 16:00:00,43.50703533709588,47.00465652149639,60.19998542823337,43.50703533709588,43.50703533709588,10.073678575078663,10.073678575078663,10.073678575078663,5.60636671497005,5.60636671497005,5.60636671497005,4.199958060342725,4.199958060342725,4.199958060342725,0.26735379976588897,0.26735379976588897,0.26735379976588897,0.0,0.0,0.0,53.580713912174545
2018-01-25 16:00:00,43.5363665850876,47.29525976363467,59.4847605878664,43.5363665850876,43.5363665850876,10.24719787400125,10.24719787400125,10.24719787400125,5.6063667138583035,5.6063667138583035,5.6063667138583035,4.198317852690564,4.198317852690564,4.198317852690564,0.4425133074523873,0.4425133074523873,0.4425133074523873,0.0,0.0,0.0,53.78356445908885
2018-01-26 16:00:00,43.56569783307931,47.34171299013709,60.50070583775175,43.56569783307931,43.56569783307931,10.481257605752287,10.481257605752287,10.481257605752287,5.606366712746554,5.606366712746554,5.606366712746554,4.2636217874213465,4.2636217874213465,4.2636217874213465,0.6112691055843841,0.6112691055843841,0.6112691055843841,0.0,0.0,0.0,54.0469554388316
2018-01-29 16:00:00,43.653691577054445,47.5774067086756,61.175922804474524,43.653691577054445,43.653691577054445,10.857967110918036,10.857967110918036,10.857967110918036,5.606366713613363,5.606366713613363,5.606366713613363,4.2015468250757015,4.2015468250757015,4.2015468250757015,1.0500535722289712,1.0500535722289712,1.0500535722289712,0.0,0.0,0.0,54.511658687972485
2018-01-30 16:00:00,43.68302282504616,47.89873523665905,61.014959230608575,43.68302282504616,43.68302282504616,10.978207602151892,10.978207602151892,10.978207602151892,5.6063667125016154,5.6063667125016154,5.6063667125016154,4.206713183954886,4.206713183954886,4.206713183954886,1.1651277056953915,1.1651277056953915,1.1651277056953915,0.0,0.0,0.0,54.66123042719805
2018-01-31 16:00:00,43.71235407303787,48.88702901877166,61.328547163223206,43.71235407303787,43.71235407303787,11.067247572856123,11.067247572856123,11.067247572856123,5.6063667145058025,5.6063667145058025,5.6063667145058025,4.199958060324293,4.199958060324293,4.199958060324293,1.260922798026029,1.260922798026029,1.260922798026029,0.0,0.0,0.0,54.779601645894
2018-02-01 16:00:00,43.741685321029586,48.39898221875083,61.79681440414018,43.741685321029586,43.741685321029586,11.140389854670195,11.140389854670195,11.140389854670195,5.606366713394051,5.606366713394051,5.606366713394051,4.198317852636821,4.198317852636821,4.198317852636821,1.3357052886393217,1.3357052886393217,1.3357052886393217,0.0,0.0,0.0,54.88207517569978
2018-02-02 16:00:00,43.77101656902129,47.685367686236546,61.560166108378134,43.77101656902129,43.77101656902129,11.258089139453979,11.258089139453979,11.258089139453979,5.6063667133684305,5.6063667133684305,5.6063667133684305,4.263621787367798,4.263621787367798,4.263621787367798,1.3881006387177561,1.3881006387177561,1.3881006387177561,0.0,0.0,0.0,55.02910570847527
2018-02-05 16:00:00,43.859010312996425,48.70485614006789,61.57931390852697,43.859010312996425,43.859010312996425,11.210852191648359,11.210852191648359,11.210852191648359,5.606366713149119,5.606366713149119,5.606366713149119,4.201546825084974,4.201546825084974,4.201546825084974,1.402938653414267,1.402938653414267,1.402938653414267,0.0,0.0,0.0,55.06986250464478
2018-02-06 16:00:00,43.888341560988145,48.56561638159736,61.534388641488825,43.888341560988145,43.888341560988145,11.172783656092024,11.172783656092024,11.172783656092024,5.606366712037366,5.606366712037366,5.606366712037366,4.206713183921309,4.206713183921309,4.206713183921309,1.359703760133348,1.359703760133348,1.359703760133348,0.0,0.0,0.0,55.06112521708017
2018-02-07 16:00:00,43.91767280897985,48.681686184841645,61.850225862595245,43.91767280897985,43.91767280897985,11.099291111981914,11.099291111981914,11.099291111981914,5.606366714041554,5.606366714041554,5.606366714041554,4.199958060377264,4.199958060377264,4.199958060377264,1.2929663375630969,1.2929663375630969,1.2929663375630969,0.0,0.0,0.0,55.016963920961764
2018-02-08 16:00:00,43.947004056971565,48.39408881774784,61.63529039358636,43.947004056971565,43.947004056971565,11.008304595070431,11.008304595070431,11.008304595070431,5.606366712929807,5.606366712929807,5.606366712929807,4.1983178526555935,4.1983178526555935,4.1983178526555935,1.2036200294850303,1.2036200294850303,1.2036200294850303,0.0,0.0,0.0,54.95530865204199
2018-02-09 16:00:00,43.97633530496328,48.335126357067445,60.86529158551978,43.97633530496328,43.97633530496328,10.962874422833485,10.962874422833485,10.962874422833485,5.6063667129041805,5.6063667129041805,5.6063667129041805,4.263621787401604,4.263621787401604,4.263621787401604,1.0928859225277012,1.0928859225277012,1.0928859225277012,0.0,0.0,0.0,54.939209727796765
2018-02-12 16:00:00,44.06432904893841,48.12383625298001,60.86213629253329,44.06432904893841,44.06432904893841,10.456708034163368,10.456708034163368,10.456708034163368,5.606366712684868,5.606366712684868,5.606366712684868,4.201546825077586,4.201546825077586,4.201546825077586,0.6487944964009137,0.6487944964009137,0.6487944964009137,0.0,0.0,0.0,54.52103708310178
2018-02-13 16:00:00,44.093660296930125,47.36238770888502,60.91495480869941,44.093660296930125,44.093660296930125,10.28317081350366,10.28317081350366,10.28317081350366,5.6063667146890515,5.6063667146890515,5.6063667146890515,4.206713183973701,4.206713183973701,4.206713183973701,0.4700909148409053,0.4700909148409053,0.4700909148409053,0.0,0.0,0.0,54.376831110433784
2018-02-14 16:00:00,44.12299154492184,47.139328109710156,60.96752574542497,44.12299154492184,44.12299154492184,10.08611439996227,10.08611439996227,10.08611439996227,5.606366714663428,5.606366714663428,5.606366714663428,4.199958060303499,4.199958060303499,4.199958060303499,0.2797896249953395,0.2797896249953395,0.2797896249953395,0.0,0.0,0.0,54.20910594488411
2018-02-15 16:00:00,44.15232279291355,47.23370043121899,60.614312682157376,44.15232279291355,44.15232279291355,9.88498418871302,9.88498418871302,9.88498418871302,5.6063667135516795,5.6063667135516795,5.6063667135516795,4.198317852674366,4.198317852674366,4.198317852674366,0.08029962248697384,0.08029962248697384,0.08029962248697384,0.0,0.0,0.0,54.03730698162657
2018-02-16 16:00:00,44.181654040905265,46.80952871620266,60.16721622030437,44.181654040905265,44.181654040905265,9.744068314434474,9.744068314434474,9.744068314434474,5.606366712439927,5.606366712439927,5.606366712439927,4.263621787390193,4.263621787390193,4.263621787390193,-0.12592018539564748,-0.12592018539564748,-0.12592018539564748,0.0,0.0,0.0,53.92572235533974
